,talentId,platformId,type,followers,Avg View Through Rate,Avg Engagement Rate
500,1dc1d0d3-53ed-484f-9994-b8a53888f994,2296152087,video,88066,3.10%,0.40%
503,1e3a7677-81b0-4901-bd42-c27529bea0cf,452929512,video,37514,5.20%,0.85%
504,1e3e3d55-ecf8-49a8-917a-77be6a122231,1153263308,video,58212,28.04%,4.71%
506,1e4821fd-1e2a-409f-a31d-6135cc5483df,2044996883,video,66001,54.34%,5.82%
509,1eebb307-5af1-4849-b791-2931923e6cf1,215985469,video,41943,34.10%,2.96%
511,1f15f9de-15de-4074-a18e-42331d80f8cb,660924564,video,26646,23.87%,2.73%
513,1f2b6b8d-5173-4822-a6fc-03d1a6ec83cc,3576996049,video,69222,7.98%,0.17%
516,1f3d8d33-ace8-4e4a-a238-9aec925423fb,297335238,video,35056,27.18%,1.41%
518,1f5a7ad5-1da2-4e91-826d-a2e8b700f1cc,3120549861,video,75151,22.41%,1.26%
520,1fc9ef72-043f-4100-ad9c-92636039b5ae,3355789,video,37335,42.79%,4.14%
522,1fd7384a-1de4-4ba7-95ca-edee67fe8d4a,622558015,video,74434,13.12%,2.14%
524,1ff1c28a-f89d-459a-b0d0-3c67e645b7a7,1630314638,video,89656,3.15%,0.75%
527,20b98bc7-18f0-4e70-abb4-e3298521a857,1027481501,video,29997,126.45%,5.80%
529,20db894d-3525-4211-86d2-878f29caff8c,424431880,video,54024,1.00%,0.32%
532,213c541c-a007-41a3-b598-e4e0c9f5a396,229368797,video,39516,20.75%,3.19%
534,21935c73-f1ff-48a9-a417-76bb5e823e1c,357469648,video,35276,23.77%,0.68%
538,2295696f-7987-4fa2-a9b8-bf8875baa67a,465602548,video,42017,10.33%,1.62%
540,2330de9e-7a8f-4459-9367-f3af9709f23a,6051882709,video,61824,20.81%,1.81%
542,23413aef-3493-4f48-bee2-447b0c77a9af,347441190,video,28477,18.59%,0.96%
546,239861dc-1a7b-443b-9e59-d7b9df15434f,346692975,video,58467,2.77%,0.61%
549,2424a8b6-152e-4cdf-a6dc-7a6f1033f6e9,454278905,video,25318,5.03%,0.37%
551,2432d730-520c-440f-a94a-d762517de275,1925054258,video,61406,27.48%,1.39%
553,2470c4cc-0b17-4b1f-86e3-7539a276b9e4,1673485794,video,40160,5.98%,1.95%
555,24720eb6-a7e1-49a4-88d7-ed5fc053377a,205925281,video,70424,17.18%,2.87%
559,24abc80f-12dc-4309-b203-6a8a4a72ce01,53584536,video,68770,2.78%,0.49%
561,24dea0fb-bd8a-41d3-a3f0-a78e218301ee,1749749831,video,22621,25.37%,3.59%
564,2548de0b-1359-4fcd-8d34-46a535740b23,2264670534,video,20892,11.00%,1.53%
567,25e5255d-628b-4fb4-87b0-e7bf0a325ae7,298771851,video,22588,6.85%,1.27%
570,25fcd127-861c-4f45-b86a-96d7401fa9c2,24751239,video,22509,8.60%,1.18%
572,26271c9c-8321-45b9-b7b2-f1806c857506,190838240,video,34555,38.69%,1.89%
575,26ed7e69-e81b-4094-8b75-4b124b0603dd,280570853,video,42304,6.27%,0.70%
578,271319a7-4ad1-4aa9-af8d-b41d44be7d66,1418635252,video,35478,2.42%,0.94%
